name,price,neighbourhood_cleansed,room_type,minimum_nights,accommodates,bedrooms,beds,bathroom_count,bathroom_type
Rooftop Oasis | 3 Suite | 8Beds | 600sqft Rooftop,362.0,District 21,Entire home/apt,1,10,3.0,6.0,3.5,bath
New!! Studio at Margaritaville Nashville Resort,194.0,District 19,Entire home/apt,2,4,1.0,2.0,1.0,bath
"Comfy Room on Farm, Priv Bath, 17 Min to Downtown",69.0,District 1,Private room,1,2,1.0,1.0,1.0,private bath
The Guesthouse Nashville,72.0,District 20,Entire home/apt,1,2,1.0,1.0,1.0,bath
The Deluxe House on Delta,286.0,District 21,Entire home/apt,2,10,3.0,5.0,3.0,bath
Modern New Home 4 Minutes From Downtown!,139.0,District 2,Entire home/apt,1,10,3.0,6.0,2.5,bath
Luxury Retreat *1.5 Miles to Broadway* Sleeps 12+,756.0,District 19,Entire home/apt,2,12,4.0,8.0,3.5,bath
"Cozy Room on Farm, Priv Bath, 17 mins to Downtown",75.0,District 1,Private room,1,2,1.0,1.0,1.0,private bath
Nashville Getaway Steps From The City,229.0,District 19,Entire home/apt,2,10,3.0,5.0,3.5,bath
Downtown location location location!! Long term,78.0,District 21,Entire home/apt,30,5,2.0,3.0,1.0,bath
Historic Nashville Home in EXCEPTIONAL Location,141.0,District 24,Entire home/apt,30,10,4.0,5.0,2.0,bath
The Maxwell - Luxurious Home Near Restaurants!,192.0,District 6,Entire home/apt,1,12,4.0,6.0,3.5,bath
"GoldenRule - Mins. to Broadway, Midtown! Sleeps 10",303.0,District 17,Entire home/apt,2,10,3.0,4.0,2.5,bath
Nashville Private Room! All Amenities Included!,35.0,District 3,Private room,20,2,1.0,1.0,1.5,shared bath
"Luxury 2BR at Wyndham Resort in Nashville, TN",131.0,District 15,Entire home/apt,2,6,2.0,4.0,2.0,bath
Authentic Local Musician Space WeHo Art District!!,36.0,District 17,Entire home/apt,2,5,2.0,2.0,2.0,bath
6 Bed King Ranch 6 mins to Downtown Broadway!,184.0,District 21,Entire home/apt,30,10,3.0,6.0,2.0,bath
Nashville Private Room! All Amenities Included!,35.0,District 3,Private room,20,2,1.0,1.0,1.5,shared bath
Cute and Cozy Aluminum built Tiny Home in Woodbine,96.0,District 16,Entire home/apt,1,3,1.0,1.0,1.0,bath
Enticing Home ON the Cumberland river!,506.0,District 7,Entire home/apt,3,6,3.0,4.0,2.0,bath
Cozy Riverfront Condo - Perfect Location,142.0,District 19,Entire home/apt,2,6,2.0,3.0,1.5,bath
New East Nashville Tudor Style Home,400.0,District 8,Entire home/apt,3,6,3.0,3.0,3.0,bath
Cozy Bungalow 8 mins from downtown,144.0,District 21,Entire home/apt,2,7,2.0,4.0,2.0,bath
★Modern Farmhouse w/ Small Town Charm★15min D'town,273.0,District 1,Entire home/apt,2,12,4.0,9.0,3.0,bath
Amazing | 5 Queen Beds | Downtown Nashville Airbnb,171.0,District 19,Entire home/apt,1,10,3.0,5.0,2.0,bath
"MASSIVE Corporate Retreat -4 Homes, 16 Bed/16 Bath",3518.0,District 21,Entire home/apt,3,16,16.0,32.0,16.0,bath
Charming & Cozy 10 minutes from downtown,105.0,District 6,Entire home/apt,2,4,1.0,3.0,1.0,bath
Little Magnolia,140.0,District 18,Entire home/apt,2,4,1.0,1.0,1.0,bath
LUXURY DREAM HOME ✦ 12 SOUTH STAR ✦ MINS 2 GULCH,228.0,District 17,Entire home/apt,2,12,4.0,8.0,4.0,bath
Hey Yall Nashville FREE Parking 4miles Broadway!,106.0,District 21,Entire home/apt,2,5,2.0,3.0,1.0,bath
Room2-Private room close to airport and lake,31.0,District 33,Private room,30,1,1.0,1.0,1.0,shared bath
Perfect Sleep 20 | Downtown Airbnb | 10 Queen Beds,315.0,District 19,Entire home/apt,1,16,6.0,10.0,4.0,bath
2 Miles To Downtown & Walk to Bars & Restaurants,147.0,District 5,Entire home/apt,2,6,2.0,3.0,2.5,bath
Super Cute Cottage Minutes to Titans Stadium!,103.0,District 5,Entire home/apt,2,4,1.0,2.0,1.0,bath
Cozy and Convenient Downtown Condo,143.0,District 19,Entire home/apt,2,4,1.0,2.0,1.0,bath
7 Min from Broadway! 3 Bed 2.5 Bath (Sleeps 10+),295.0,District 21,Entire home/apt,1,10,3.0,6.0,2.5,bath
"Hartford Studio, Modern Bohemian Private Suite",179.0,District 16,Entire home/apt,2,2,1.0,2.0,1.0,bath
Gulch Condo! Stay Where the Fun is! 🎸🎵🎶,142.0,District 19,Entire home/apt,2,4,1.0,2.0,1.5,bath
15 minutes from downtown Nashville,50.0,District 26,Private room,2,3,1.0,1.0,1.0,shared bath
Spacious home located 5.6 miles from downtown.,275.0,District 2,Entire home/apt,2,8,3.0,3.0,2.0,bath
Charming & Relaxing 2BD 1 block from Broadway!,141.0,District 19,Entire home/apt,2,8,2.0,3.0,2.0,bath
3mn to everything Nashville! Comfortably sleeps 12,726.0,District 6,Entire home/apt,2,12,4.0,6.0,4.0,bath
Stay in Style & walk to Broadway Nashville 2BR/2BA,262.0,District 19,Entire home/apt,1,7,2.0,4.0,2.0,bath
Country Livin’ in the City - Close to I40&Downtown,133.0,District 12,Entire home/apt,1,5,2.0,2.0,1.0,bath
The Oliver on Acklen - Heart of Hillsboro Village!,178.0,District 18,Entire home/apt,1,8,3.0,4.0,3.5,bath
Serene Studio in the heart of East Nashville,104.0,District 7,Entire home/apt,2,2,1.0,1.0,1.0,bath
The Jade on Acklen-Heart of Hillsboro Village!,192.0,District 18,Entire home/apt,1,8,3.0,4.0,3.5,bath
Spacious Private Bedroom/Bathroom.,30.0,District 32,Private room,1,2,1.0,1.0,1.0,bath
"RANCH BEAUTY - 3Bd/2Ba, King Bed, Mins to Broadway",305.0,District 8,Entire home/apt,3,6,3.0,3.0,2.0,bath
LARGE 1 BD CONDO ★ ON MUSIC ROW ★ GUITAR POOL!,222.0,District 19,Entire home/apt,2,4,1.0,2.0,1.0,bath
Studio Loft ❤ of the Gulch!,143.0,District 19,Entire home/apt,2,4,1.0,2.0,1.0,bath
New Townhome walkable to coffee/bars/food - short,215.0,District 5,Entire home/apt,1,10,3.0,7.0,3.5,bath
Monthly Furnished Rental in Woodbine,60.0,District 16,Entire home/apt,30,2,1.0,1.0,1.0,bath
WORK HARD PLAY HARD - DOWNTOWN NASHVILLE TN,133.0,District 19,Entire home/apt,1,6,1.0,3.0,1.0,bath
"Margaritaville, New Studio near Broadway and HOF",192.0,District 19,Private room,1,4,1.0,2.0,1.0,private bath
Charleston on Acklen - Heart of Hillsboro Village!,174.0,District 18,Entire home/apt,1,8,3.0,4.0,3.5,bath
The London on Acklen - in the Heart of Hillsboro Village!,174.0,District 18,Entire home/apt,1,8,3.0,4.0,3.5,bath
Duet on Music Row - Full 1 Bedroom Apt,78.0,District 17,Entire home/apt,1,2,1.0,2.0,1.0,bath
Studio at New Margaritaville Hotel Nashville,257.0,District 19,Entire home/apt,2,4,1.0,2.0,1.0,bath
The East Side Vibe - Spacious and Great Location!,116.0,District 5,Entire home/apt,1,10,3.0,9.0,3.0,bath
Gorgeous Mid-Century Modern Luxury,294.0,District 2,Entire home/apt,1,8,3.0,4.0,3.5,bath
The Lost Texan Apartment - Near Gaylord Opryland,184.0,District 15,Entire home/apt,2,2,1.0,2.0,1.0,bath
"Minutes From Downtown, Renovated, No Cleaning Fee!",199.0,District 16,Entire home/apt,2,10,4.0,5.0,2.0,bath
Private suite in Nashville neighborhood,58.0,District 30,Private room,1,2,1.0,1.0,1.0,private bath
Modern Spacious at Woolworth on Ave of the Arts 31,229.0,District 19,Entire home/apt,1,8,2.0,5.0,2.0,bath
"East Nashville Bungalow, Heart of Five Points",169.0,District 6,Entire home/apt,1,10,4.0,5.0,2.5,bath
Chic East Nashville Retreat/Rooftop deck/13 Beds,387.0,District 8,Entire home/apt,2,15,4.0,13.0,3.5,bath
Dreaming on Historic Music Row,90.0,District 17,Entire home/apt,1,2,1.0,1.0,1.0,bath
Charming Nashville villa btwn Broadway & Germantwn,209.0,District 19,Entire home/apt,2,10,3.0,3.0,2.5,bath
Studio in upscale Nashville Gulch • Downtown!,143.0,District 19,Entire home/apt,2,4,1.0,2.0,1.0,bath
Monthly Rental.  Flexible Terms.  Message us.,314.0,District 27,Entire home/apt,30,10,4.0,5.0,2.0,bath
"DOWNTOWN IN MINUTES! Nashville's ""Sweet Retreat!""",86.0,District 16,Entire home/apt,2,4,1.0,2.0,1.0,bath
Designer Getaway on Famous Avenue of the Arts 32,147.0,District 19,Entire home/apt,1,6,2.0,3.0,1.0,bath
Hey Yall Nashville FREE Parking 4miles Broadway!,126.0,District 21,Entire home/apt,2,5,2.0,3.0,1.0,bath
Walkable Stylish Getaway Famous Ave of the Arts 33,172.0,District 19,Entire home/apt,1,7,2.0,4.0,2.0,bath
The Bohemian West (Pool AND 5 mins to Broadway),175.0,District 21,Entire home/apt,2,4,1.0,1.0,1.0,bath
Historic *4 BEDRM*Farmhouse~Fall Retreat~Nashville,800.0,District 8,Entire home/apt,3,10,4.0,5.0,3.5,bath
Music City Secret  _  Great Location!!!,89.0,District 25,Entire home/apt,2,4,1.0,2.0,1.0,bath
"Hope Gardens in Historic Downtown, Nashville",399.0,District 19,Entire home/apt,3,10,3.0,5.0,3.0,bath
"Mid Century Modern Condo30day min w/ WiFi, AC, Parking, TV, Furnished, Rooftop",110.0,District 5,Entire home/apt,30,2,1.0,1.0,1.0,bath
Who's Your DADU? *On-site Parking*,120.0,District 5,Entire home/apt,2,4,1.0,1.0,1.0,bath
Vintage Charm - Wine cellar and bar room...,460.0,District 30,Entire home/apt,3,12,4.0,10.0,3.0,bath
"Modern ""Pops of Color""- Mins to Downtown 2b/2.5ba",163.0,District 5,Entire home/apt,3,4,2.0,2.0,2.5,bath
The Guest Suite at Highpoint Farm,74.0,District 1,Entire home/apt,1,2,1.0,1.0,1.0,bath
Rosebank Retreat,285.0,District 6,Entire home/apt,2,4,2.0,2.0,2.5,bath
The Russell (Room 3:1) HISTORIC EAST NASHVILLE!!!,177.0,District 6,Hotel room,1,2,1.0,1.0,1.0,shared bath
HUGE Roof Deck | FREE Garage Parking | 10 Minutes To Broadway Bars,147.0,District 21,Entire home/apt,30,10,3.0,10.0,2.5,bath
The Russell (3:5) - Walk to Bars & Restaurants,177.0,District 6,Private room,1,2,1.0,1.0,1.0,private bath
"2BD/Nashville - Pools, Cabanas, Playground!",129.0,District 15,Entire home/apt,3,6,2.0,4.0,2.0,bath
Sonder The Elliston | Superior Two-Bedroom Apartment,121.0,District 21,Entire home/apt,2,6,2.0,2.0,1.0,bath
Entire Studio Apt 10 minutes from downtown,68.0,District 8,Entire home/apt,2,3,1.0,2.0,1.0,bath
"Margaritaville, New Studio near Broadway and HOF",178.0,District 19,Private room,1,4,1.0,2.0,1.0,private bath
East Nashville 4BR - Walk to Bars and Restaurants,750.0,District 5,Entire home/apt,2,8,4.0,4.0,3.5,bath
"Private Smashville pad, minutes to Music Row",38.0,District 21,Private room,30,2,1.0,1.0,1.5,shared bath
Lovely space in the heart of Belmont/12 South,175.0,District 18,Entire home/apt,2,3,1.0,1.0,1.0,bath
Cozy East Nashville Fun,125.0,District 5,Entire home/apt,2,6,3.0,3.0,2.0,bath
"Nashville Apt w/ Patio, 3 Mi to Grand Ole Opry",107.0,District 15,Entire home/apt,2,8,2.0,3.0,2.0,bath
"Margaritaville, New Studio near Broadway and HOF",178.0,District 19,Private room,1,4,1.0,2.0,1.0,private bath
"Margaritaville, New Studio near Broadway and HOF",178.0,District 19,Entire home/apt,1,4,1.0,2.0,1.0,bath
Acoustic Retreat #1 Music Row - 1 Full Bedroom Apt,77.0,District 17,Entire home/apt,1,4,1.0,2.0,1.0,bath
Sonder The Elliston | Two-Bedroom Apartment,153.0,District 21,Entire home/apt,2,6,2.0,1.0,1.0,bath
"Margaritaville, New Studio near Broadway and HOF",178.0,District 19,Private room,1,4,1.0,2.0,1.0,private bath
Home Away from Home; Minutes from the city.,536.0,District 3,Entire home/apt,2,12,4.0,4.0,3.5,bath
"Gorgeous, newly updated East Nashville space",104.0,District 6,Entire home/apt,300,4,1.0,1.0,1.0,bath
Music City Apartment Just Steps From Broadway!,69.0,District 19,Entire home/apt,4,5,1.0,2.0,1.0,bath
Spacious Music City Getaway - In a Great Location!,95.0,District 24,Entire home/apt,1,8,2.0,4.0,1.0,bath
Private Bedroom 8 minutes from Heart of Downtown!,40.0,District 2,Private room,1,2,1.0,2.0,1.0,private bath
New designer home - 1 mile to downtown - Sleeps 10,235.0,District 19,Entire home/apt,2,10,3.0,3.0,2.5,bath
"Margaritaville, New Studio near Broadway and HOF",178.0,District 19,Entire home/apt,1,4,1.0,2.0,1.0,bath
"1BD/Nashville - Kitchen, Jetted tub, Pools, Gym!",88.0,District 15,Entire home/apt,3,4,1.0,2.0,1.0,bath
Nashville STUDIO  Sleeps 4 Near Downtown ★★★★★,80.0,District 5,Entire home/apt,1,4,2.0,2.0,1.0,bath
EXECUTIVE SUITE W/2BD IN THE HEART OF THE GULCH,325.0,District 19,Entire home/apt,1,4,1.0,2.0,1.0,bath
New home in Popular Sylvan Park! 10 min downtown,393.0,District 24,Entire home/apt,2,12,4.0,9.0,3.0,bath
Little Money Pit — PERFECT TEMPORARY HOUSING,175.0,District 35,Entire home/apt,30,4,2.0,3.0,1.5,bath
Blue Bird Karaoke - 11 Beds - Skydeck City Views,189.0,District 21,Entire home/apt,1,12,4.0,11.0,4.0,bath
Cozy Urban Cottage w/ firepit | Walk to hotspots!,114.0,District 6,Entire home/apt,1,6,2.0,2.0,1.0,bath
★ Downtown| King Beds+Rooftop Lounge+Gym★...,256.0,District 19,Entire home/apt,2,6,2.0,3.0,2.0,bath
Downtown Special Rate Amazing 1BR/1BASlps 5,92.0,District 19,Entire home/apt,1,5,1.0,2.0,1.0,bath
Modern Luxury | Rooftop Deck | 3 mi to Downtown,176.0,District 7,Entire home/apt,1,10,3.0,5.0,2.5,bath
Updated Home w/ Patio & Yard - Walk to Music Row!,280.0,District 19,Entire home/apt,2,8,3.0,4.0,2.0,bath
Mid Century In Music City - Close To Downtown,145.0,District 5,Entire home/apt,1,8,3.0,4.0,2.0,bath
Newly remodeled 3BR house 8 min from downtown!,346.0,District 2,Entire home/apt,3,10,3.0,5.0,2.0,bath
City Escape /Nicely tucked away in East Nashville!,95.0,District 6,Entire home/apt,30,6,2.0,4.0,1.0,bath
The Greenhouse | Greenhills / West End Apartment,95.0,District 24,Entire home/apt,1,3,1.0,1.0,1.0,bath
Daybed in the Playroom-MorningStar  semi-private,26.0,District 12,Shared room,30,2,1.0,1.0,1.0,shared bath
Updated Home w/Grill & Patio - 14 Mi to Nashville!,135.0,District 32,Entire home/apt,2,10,4.0,5.0,2.0,bath
Music City Heights,422.0,District 21,Entire home/apt,2,10,3.0,10.0,3.5,bath
LUXE Music City Condo | Discover Nashville,105.0,District 21,Entire home/apt,1,4,1.0,2.0,1.0,bath
"Mid-century Beauty in East Nashville, 30+ Day min.",110.0,District 7,Entire home/apt,30,4,2.0,2.0,1.0,bath
Music City Getaway - 3 Suites/Close 2DWNTN,153.0,District 2,Entire home/apt,2,10,3.0,5.0,3.5,bath
Home Away from Home MINUTES! to Downtown & Stadium,188.0,District 5,Entire home/apt,2,10,3.0,5.0,2.0,bath
Crieve Hall Hideaway - Entire guest suite,75.0,District 26,Private room,1,2,1.0,2.0,1.0,shared bath
Hip Urban Designer Apartment,60.0,District 19,Entire home/apt,1,4,1.0,2.0,1.0,bath
The Cabin at Ghost Gums on the Ridge,130.0,District 3,Entire home/apt,2,2,1.0,1.0,1.0,bath
Contemporary Condo Minutes To Downtown,73.0,District 19,Entire home/apt,2,6,2.0,3.0,1.0,bath
Pet Friendly Guest Suite in The Nations!!,126.0,District 20,Entire home/apt,30,2,1.0,1.0,1.0,bath
A Room to Nestledown in 12 South,52.0,District 25,Private room,1,2,1.0,1.0,1.0,private bath
Another Room to Nestledown in 12 South,47.0,District 25,Private room,1,2,1.0,1.0,1.0,private bath
COZY HOME 1 MILE FROM BROADWAY! MUSIC CITY GETAWAY,193.0,District 19,Entire home/apt,2,10,3.0,4.0,2.5,bath
2 Rooftops/Downtown Nash/6 Bedrooms,887.0,District 21,Entire home/apt,2,16,6.0,22.0,6.0,bath
"Lovely Nashville Home w/Fire Pit+Yard, 3Mi to Dwtn",263.0,District 2,Entire home/apt,2,10,4.0,4.0,2.0,bath
Best Deal in Nashville - Hillbilly House - YEEHAW,110.0,District 3,Entire home/apt,2,6,2.0,4.0,2.0,bath
Music City Dream/3 Miles to BW/11 beds/2nd HomeOpt,575.0,District 5,Entire home/apt,31,10,3.0,11.0,3.0,bath
Eclectic Escape 5 Minutes From Downtown Nashville,73.0,District 19,Entire home/apt,2,6,2.0,3.0,1.0,bath
Chic New Interiors on Ave of the Arts Downtown 35,155.0,District 19,Entire home/apt,1,6,2.0,3.0,2.0,bath
Historic Belle Air Mansion,4900.0,District 15,Entire home/apt,2,16,15.0,22.0,17.0,bath
Modern Loft/ Minutes from the Airport,206.0,District 13,Entire home/apt,2,7,3.0,5.0,2.0,bath
Dreamy Designer Getaway on Avenue of the Arts! 34,169.0,District 19,Entire home/apt,1,7,2.0,4.0,2.0,bath
Nashville Downtown Magnificent Music City,332.0,District 19,Entire home/apt,1,4,1.0,2.0,1.0,bath
Phonse's Modern Hill Top Condo - stunning views!!,147.0,District 4,Entire home/apt,1,4,2.0,2.0,2.5,bath
Modern Walkable Apt on Famous Ave of the Arts 36,174.0,District 19,Entire home/apt,1,7,2.0,4.0,2.0,bath
SUPERB LUXURY ★ BIG & GORGEOUS ★ 10 COMFY BEDS,240.0,District 17,Entire home/apt,2,12,4.0,10.0,5.0,bath
Spacious Private Apartment in East Nashville,86.0,District 5,Entire home/apt,30,2,1.0,1.0,1.0,bath
Designer Living on Famous Avenue of the Arts  37,127.0,District 19,Entire home/apt,1,4,1.0,2.0,1.0,bath
"Green Garriage. Private, eastside guesthouse.",77.0,District 6,Entire home/apt,1,3,1.0,2.0,1.0,bath
SUPER GULCH TOWNHOMES ✦ DESIGNED FOR INSTAGRAM,390.0,District 17,Entire home/apt,2,16,8.0,20.0,9.0,bath
"Best-in-Class Condo Near Vandy, Restaurants, Bars",115.0,District 19,Entire home/apt,30,2,1.0,1.0,1.0,bath
*Cozy Bungalow* close to Opry&Downtown w/ LG Deck!,163.0,District 7,Entire home/apt,2,6,2.0,3.0,2.0,bath
Condo in Heart of Music Row! Walkable to Downtown,112.0,District 19,Entire home/apt,2,4,2.0,2.0,1.0,bath
The Hermitage Hideout,50.0,District 11,Entire home/apt,30,5,1.0,4.0,1.0,bath
"Eclectic Charm in the City (Nashville, TN)",122.0,District 16,Entire home/apt,2,6,3.0,3.0,1.0,bath
"360° DT views, 8min to Broadway, 5min to Gulch☆NEW",236.0,District 21,Entire home/apt,2,12,4.0,12.0,4.0,bath
Beautiful Luxury Townhome ✹ Perfect For Big Groups,131.0,District 20,Entire home/apt,2,10,3.0,4.0,3.5,bath
Relaxing & Romantic - The Tree Top View Suite,220.0,District 3,Private room,2,4,2.0,2.0,2.0,bath
Stunning place located trendy East Nashville,75.0,District 6,Private room,30,1,1.0,2.0,1.5,bath
Downtown Luxury - 12 Beds & Free Parking,166.0,District 2,Entire home/apt,1,12,4.0,12.0,3.5,bath
Basic private room and bath to relax & enjoy!,105.0,District 20,Private room,30,2,1.0,1.0,1.0,private bath
Cozy luxury suite near down town Nashville,53.0,District 19,Private room,1,2,1.0,1.0,1.0,private bath
"Hilltop Home - comfy, open, quick to downtown/BNA",300.0,District 15,Entire home/apt,2,10,3.0,6.0,2.0,bath
Modern East Nashville Townhome,249.0,District 5,Entire home/apt,3,7,2.0,3.0,2.5,bath
"Margaritaville, new studio near Broadway and HOF",178.0,District 19,Private room,1,4,1.0,2.0,1.0,private bath
"Margaritaville, New Studio Deluxe Broadway and HOF",206.0,District 19,Private room,1,4,1.0,2.0,1.0,private bath
"Margaritaville, new studio near Broadway and HOF",178.0,District 19,Entire home/apt,1,4,1.0,2.0,1.0,bath
Walk to the Best of Nashville!,200.0,District 19,Entire home/apt,3,6,2.0,2.0,2.0,bath
12th South Hideaway with Big Deck Energy,350.0,District 17,Entire home/apt,3,8,3.0,3.0,3.0,bath
Cute and cozy,65.0,District 10,Private room,2,2,1.0,1.0,1.5,bath
Relaxing Cabin perfect weekend getaway 12 miles to downtown !,257.0,District 3,Entire home/apt,2,4,1.0,3.0,1.0,bath
"LIVE w/LEGENDS- New in E Nash, 5 beds, 3 mi to DT",132.0,District 5,Entire home/apt,2,8,2.0,5.0,2.5,bath
Private Master Bedroom - great location,80.0,District 5,Private room,2,2,1.0,1.0,1.5,shared bath
Hillsboro Village Bungalow - 1.8 Miles to Downtown,130.0,District 18,Entire home/apt,30,5,3.0,4.0,2.0,bath
BEAUTIFUL GULCH HOME ★ WALK TO ACTION ★ COMFY BEDS,149.0,District 17,Entire home/apt,2,10,3.0,7.0,3.5,bath
Treetop Terrace - 3 miles to stadium and downtown!,271.0,District 5,Entire home/apt,3,8,2.0,6.0,2.5,bath
The Marigold - Walkable to Nashville's 12 South!,163.0,District 17,Entire home/apt,1,10,3.0,4.0,4.0,bath
Beautiful 3 Bedroom Townhome! Sleeps 9,222.0,District 17,Entire home/apt,2,9,3.0,4.0,4.0,bath
East Nashville Cottage,183.0,District 5,Entire home/apt,1,4,1.0,1.0,1.0,bath
HUGE LUXURIOUS 4 BED 4 BATH GAME ROOM ROOFTOP VIEW,257.0,District 21,Entire home/apt,2,12,4.0,14.0,4.0,bath
Home ON Belmont's Campus- Buy 3 Nights Get 1 Free,204.0,District 18,Entire home/apt,2,10,3.0,4.0,3.5,bath
Cozy East Nashville Retreat,64.0,District 7,Entire home/apt,1,2,1.0,1.0,1.0,bath
"2-Story Loft with Views 30day min w/ WiFi, AC, Parking, TV, Furnished, Rooftop",104.0,District 5,Entire home/apt,30,2,1.0,1.0,1.5,bath
East Nashville Bird House-Cozy & Elegant Retreat,103.0,District 5,Entire home/apt,4,2,1.0,2.0,1.0,bath
Cozy Nashville Room/Newly Remodeled Near Opryland,49.0,District 15,Private room,30,1,1.0,-1.0,1.0,shared bath
Stay in a piece of History! The 1865 Apt Sleeps 8!,249.0,District 21,Entire home/apt,2,8,2.0,4.0,1.0,bath
"Close to the Action, But Peaceful on the River!",118.0,District 19,Entire home/apt,1,4,1.0,1.0,1.0,bath
"2 Miles to DWNTN Walk to Coffee, Food, Comedy Club",299.0,District 17,Entire home/apt,2,12,4.0,6.0,5.0,bath
NEW DOWNTOWN HOME W/11 BEDS + GAME ROOM & ROOFTOP!,207.0,District 18,Entire home/apt,2,12,4.0,11.0,3.5,bath
MASSIVE GULCH TOWNHOMES ★ PERFECT FOR LARGE GROUPS,451.0,District 17,Entire home/apt,2,16,8.0,20.0,9.0,bath
30 Days home away from home near airport/downtown,50.0,District 12,Private room,30,2,1.0,1.0,1.0,shared bath
GULCH GETAWAY★THE NASH NEST★ EPIC ROOFTOP,238.0,District 17,Entire home/apt,2,12,4.0,7.0,3.5,bath
LUXURY DREAM ★ DOWNTOWN LIVING ★ 10 COMFY BEDS,161.0,District 2,Entire home/apt,2,10,3.0,10.0,3.5,bath
BEAUTIFUL TOWNHOMES ★ INSTAGRAM DESIGN ★ 16 BEDS,397.0,District 17,Entire home/apt,2,16,8.0,14.0,9.0,bath
LUXURY GULCH TOWNHOMES ✦ GREAT AMENITIES ✦ 16 BEDS,409.0,District 17,Entire home/apt,2,16,8.0,12.0,9.0,bath
Downtown Sweet Escape🤠Upscale Gulch Neighborhood,142.0,District 19,Entire home/apt,2,4,1.0,2.0,1.5,bath
HUGE TOWNHOMES ★ GULCH LOVE ★ LARGE GROUPS WELCOME,442.0,District 17,Entire home/apt,2,16,8.0,12.0,9.0,bath
Downtown Luxe Condo at The Southern Belle+Parking,121.0,District 21,Entire home/apt,2,4,1.0,2.0,1.0,bath
"Margaritaville, new studio near Broadway and HOF",178.0,District 19,Private room,1,4,1.0,2.0,1.0,private bath
Loretta's! Skyline View! Park Free w/ Balcony!,183.0,District 19,Entire home/apt,3,6,2.0,4.0,1.0,bath
Cozy loft near downtown. 30 day minimum stay.,100.0,District 5,Entire home/apt,30,4,1.0,3.0,1.0,bath
☆  Cozy-Comfy-Convenient to Nashville Airport,152.0,District 28,Entire home/apt,30,8,4.0,6.0,2.0,bath
TWO LUXURIOUS townhome🏅2 Rooftop/15 Beds/Sleep 20+,646.0,District 21,Entire home/apt,2,16,6.0,15.0,7.0,bath
Historic Music Row (E Minor),77.0,District 19,Private room,1,2,1.0,1.0,1.0,shared bath
*Steps 2 Broadway & More*Top Floor*Balcony*Pool*,74.0,District 19,Entire home/apt,1,6,1.0,2.0,1.0,bath
Feels like Home,150.0,District 20,Entire home/apt,2,3,2.0,1.0,1.0,bath
7 min ride 2 Dtown w/ free parking and fire pit,103.0,District 5,Entire home/apt,1,8,2.0,3.0,2.0,bath
"Margaritaville, New Studio near Broadway and HOF",178.0,District 19,Entire home/apt,2,4,1.0,2.0,1.0,bath
Luxury Home FREE PARKING 6 miles to Broadway!,219.0,District 20,Entire home/apt,2,10,3.0,5.0,3.5,bath
*East Nashville Haven close to ALL Things FUN*,193.0,District 6,Entire home/apt,1,6,4.0,6.0,1.0,bath
BIG GULCH TOWNHOMES ★ LUXURY AMENITIES ★ TWO UNITS,460.0,District 17,Entire home/apt,2,16,8.0,22.0,9.0,bath
"Cozy Courtyard, 4BD/2.5BA, 4 miles to DT- Hot Tub!",467.0,District 15,Entire home/apt,2,10,4.0,8.0,2.5,bath
Stylish Sanctuary with Rooftop Beer Garden,214.0,District 21,Entire home/apt,2,10,3.0,8.0,3.5,bath
Pretty & Private | 2 BDR w/Terrace | Walk to shops,69.0,District 18,Entire home/apt,1,6,2.0,3.0,1.0,bath
Music City Style!  Downtown Broadway 1 mile!,349.0,District 19,Entire home/apt,2,7,2.0,5.0,2.0,bath
Music City Swagger♪ Big Backyard ♪ 2M to Downtown,286.0,District 5,Entire home/apt,2,10,3.0,8.0,3.5,bath
"Luxury House Near Downtown, Vanderbilt and Airport",212.0,District 17,Entire home/apt,30,14,3.0,3.0,4.0,bath
Elvis Was Here Walkable Apt on Famous Music Row 32,118.0,District 19,Entire home/apt,1,5,1.0,3.0,1.0,bath
Designer Getaway on Nashville Famous Music Row 31,138.0,District 19,Entire home/apt,1,7,2.0,4.0,1.0,bath
New Modern Home ♫  Skyline View ♫ Central Location,286.0,District 5,Entire home/apt,2,10,3.0,9.0,3.5,bath
★Sunset Stunner★ 7 beds! 9 min→Broadway • Garage ★,106.0,District 8,Entire home/apt,2,8,2.0,7.0,2.5,bath
Spacious Loft Ideal for Relocation & Monthly Stays,125.0,District 25,Entire home/apt,7,6,2.0,4.0,1.0,bath
"1BD/Nashville - Pool, Cabana, Hot tub, BBQ!",88.0,District 15,Entire home/apt,3,4,1.0,2.0,1.0,bath
"2BD/Nashville - Jet Tub, Pool, Cabana, BBQ, WiFi!",125.0,District 15,Entire home/apt,3,6,2.0,4.0,2.0,bath
"LOFT LULA 'QUATRO' in Downtown Nashville, TN",100.0,District 19,Entire home/apt,1,2,1.0,1.0,1.0,bath
Walkable Apt in Landmark Neighborhood Music Row 24,152.0,District 19,Entire home/apt,1,6,2.0,3.0,2.0,bath
In-Law Suite—Private Entrance & Close to Downtown,96.0,District 8,Private room,1,2,1.0,1.0,1.0,private bath
*East Nash Casa*No Cleaning Fee*,122.0,District 6,Entire home/apt,2,4,2.0,3.0,1.0,bath
Luxury Updated Nashville Home in great location,120.0,District 5,Entire home/apt,30,4,2.0,2.0,1.0,bath
"3 K-BR 1 Q-BR w/3.5BA: Belmont, Vandy & All MUSIC!",493.0,District 17,Entire home/apt,2,12,4.0,6.0,3.5,bath
