name,price,neighbourhood_cleansed,room_type,minimum_nights,accommodates,bedrooms,beds,bathroom_count,bathroom_type
beautiful affordable space * ladies only * NS,32.0,District 12,Private room,30,1,1.0,1.0,1.0,bath
Truly Central Private Cottage,116.0,District 6,Entire home/apt,2,2,1.0,1.0,1.0,bath
NASHVILLE'S GEM LOCATION! MUSIC ROW & VANDERBILT,649.0,District 18,Entire home/apt,2,12,5.0,6.0,3.0,bath
"Live Like a Local in E. Nashville, 233 5* Reviews",151.0,District 6,Entire home/apt,1,4,1.0,1.0,1.0,bath
Cozy Guesthouse in 12S Neighborhood,96.0,District 18,Entire home/apt,2,3,1.0,2.0,1.0,bath
Purple Moon River House  Monthly Rentals Only,300.0,District 15,Entire home/apt,30,6,3.0,3.0,2.0,bath
"Private Entry Studio! Wet Bar,King,Bath,5 mins DT!",97.0,District 19,Entire home/apt,2,2,1.0,1.0,1.0,bath
ULITIMATE GIRLS WEEKEND!!! 10 MIN. TO DOWNTOWN!!!!,699.0,District 7,Entire home/apt,3,12,4.0,8.0,2.5,bath
Cottage at West End/Vandy/Hillsboro,85.0,District 21,Entire home/apt,1,4,1.0,2.0,1.0,bath
Heart of Historic East Nashville,425.0,District 6,Entire home/apt,2,6,3.0,3.0,2.5,bath
Entire Upstairs-2 Bedroom Private/Owner downstairs,160.0,District 6,Entire home/apt,30,4,2.0,2.0,1.5,bath
Southern Charm meets Old World Hospitality,699.0,District 25,Entire home/apt,2,11,4.0,7.0,4.0,bath
"E. Nashville -Close to Everything, 235 5* Reviews,",100.0,District 6,Entire home/apt,1,4,1.0,1.0,1.0,bath
Cheapestead Cottage East Nashville,90.0,District 6,Entire home/apt,2,2,1.0,1.0,1.0,bath
"Broadway Penthouse, Walk to Live Music, Bars!",255.0,District 19,Entire home/apt,2,4,1.0,2.0,1.5,bath
Charismatic room in East Nashville,70.0,District 6,Private room,30,2,1.0,1.0,1.5,bath
"Affordable extended stays,  OPEN NOW, women",29.0,District 12,Private room,30,1,1.0,1.0,1.0,shared bath
Luxury Living & Perfect Location Walk to Music Row,149.0,District 18,Entire home/apt,2,6,2.0,3.0,2.0,bath
"East Nashville, 2 Bedroom Bungalow",110.0,District 7,Entire home/apt,30,4,2.0,2.0,1.0,bath
